Unit,Radio no. (Config Tool),Configuration,Match,Qty,Site Type Radio is deployed to,Site Type Radio Abbr,Duplicates, GSM Q-code,LEN 2G, UMTS Q-code,LEN 3G, LTE Q-code,LEN 4G,5G Q-code,LEN 5G,QcodePower,LEN Qcode Power,QcodePattern,IdlePCunit,IdleOPunit,IdleHDunit,TypPCunit,TypOPunit,TypHDunit,HighPCunit,HighOPunit,HighHDunit,MaxPCunit,MaxOPunit,MaxHDunit,Origi0l Order v8,IdlePCtotal,IdleOPtotal,IdleHDtotal,TypPCtotal,TypOPtotal,TypHDtotal,HighPCtotal,HighOPtotal,HighHDtotal,MaxPCtotal,MaxOPtotal,MaxHDtotal
Radio 2217 B20,Radio 39,1 LTE branch SM,0,0,CCR,C,14,.................................................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E..t...................,49,*,1,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E..t...................*,148,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E..t...................*C$,71,1,70,86,4,81,108,7,101,141,20,121,72,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B20,Radio 40,2 LTE branch SM,0,0,UNWIND(TEF only),T,14,.................................................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E..t...................,49,*,1,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E..t...................*,148,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E..t...................*T$,96,2,94,125,8,117,156,12,144,236,40,196,73,0,0,0,0,0,0,0,0,0,0,0,0
Radio 4415 B3,Radio 41,1 LTE branch SM,0,0,CCR,C,13,.................................................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E.....v................,49,*,1,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E.....v................*,148,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E.....v................*C$,95,1,94,106,4,102,133,7,126,153,20,133,74,0,0,0,0,0,0,0,0,0,0,0,0
Radio 4415 B3,Radio 42,2 LTE branch SM,0,0,CCR,C,13,.................................................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E.....v................,49,*,1,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E.....v................*,148,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E.....v................*C$,106,2,104,128,8,120,160,12,148,222,40,182,75,0,0,0,0,0,0,0,0,0,0,0,0
Radio 4415 B1,Radio 43,1 LTE branch SM,0,0,CCR,C,11,.................................................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E........v.............,49,*,1,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E........v.............*,148,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E........v.............*C$,97,1,96,109,4,105,136,7,129,158,20,138,76,0,0,0,0,0,0,0,0,0,0,0,0
Radio 4415 B1,Radio 44,2 LTE branch SM,0,0,CCR,C,11,.................................................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E........v.............,49,*,1,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E........v.............*,148,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E........v.............*C$,108,2,106,131,8,123,164,12,152,230,40,190,77,0,0,0,0,0,0,0,0,0,0,0,0
Radio 8808 B40Y,Radio 45,1 LTE branch SM,0,0,CCR,C,9,.................................................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E...........w..........,49,*,1,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E...........w..........*,148,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E...........w..........*C$,134,0.8,133,139,3,135,174,8,166,162,15,147,78,0,0,0,0,0,0,0,0,0,0,0,0
Radio 8808 B40Y,Radio 46,2 LTE branch SM,0,0,CCR,C,9,.................................................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E...........w..........,49,*,1,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E...........w..........*,148,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E...........w..........*C$,156,2,155,165,6,159,206,10,196,212,30,182,79,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B1,Radio 47,2 LTE branch SM,0,0,UNWIND(TEF only),T,10,.................................................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E........t.............,49,*,1,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E........t.............*,148,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E........t.............*T$,88,2,86,109,8,101,136,10,126,195,40,155,80,0,0,0,0,0,0,0,0,0,0,0,0
Radio 2217 B3,Radio 48,2 LTE branch SM,0,0,UNWIND(TEF only),T,12,.................................................,49,G6E.........36E.........L6E......................,49,G6E.........36E.........L6E.....t................,49,*,1,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E.....t................*,148,.................................................G6E.........36E.........L6E......................G6E.........36E.........L6E.....t................*T$,92,2,90,120,8,111,115,3,112,227,40,187,81,0,0,0,0,0,0,0,0,0,0,0,0
