SCD page,TelefonicaConfiguration,SCD,Capacity Model,12W/20W,Sectors,Indoor/Outdoor,2G/3G/4G Cabinet Type,Double cabinet,Lancaster/York cabinet upgrade,BB units in York/Lancaster cab,G9 end type,L800 end type,L1800 end type,2100 existing,LTE DUS to BB UG,Concatenation,Telefonica Configuration,Comments
26,B3 Indoor ERS Low 3 Sector,MORAN,Low,20W,3,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,MORAN Low 20W 3 Indoor Indoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Indoor ERS Low 3 Sector,
26,B3 Outdoor ERS Low 3 Sector,MORAN,Low,20W,3,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,MORAN Low 20W 3 Outdoor Outdoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Outdoor ERS Low 3 Sector,
28,B3 Indoor ERS Low 2 Sector,MORAN,Low,20W,2,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,MORAN Low 20W 2 Indoor Indoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Indoor ERS Low 2 Sector,
28,B3 Outdoor ERS Low 2 Sector,MORAN,Low,20W,2,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,MORAN Low 20W 2 Outdoor Outdoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Outdoor ERS Low 2 Sector,
West and East Unwind,,,,,,,,,,,,,,,,,,
30,B3 Indoor ERS TEF L18 Small 3 Sector,West and East Unwind,Small,20W,3,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,ERS,N/A,N/A,West and East Unwind Small 20W 3 Indoor Indoor Eltek No N/A No ERS ERS ERS N/A N/A,B3 Indoor ERS TEF L18 Small 3 Sector,
30,B3 Outdoor ERS TEF L18 Small 3 Sector,West and East Unwind,Small,20W,3,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,ERS,N/A,N/A,West and East Unwind Small 20W 3 Outdoor Outdoor Eltek No N/A No ERS ERS ERS N/A N/A,B3 Outdoor ERS TEF L18 Small 3 Sector,
32,B3 Indoor ERS TEF L18 Small 2 Sector,West and East Unwind,Small,20W,2,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,ERS,N/A,N/A,West and East Unwind Small 20W 2 Indoor Indoor Eltek No N/A No ERS ERS ERS N/A N/A,B3 Indoor ERS TEF L18 Small 2 Sector,
32,B3 Outdoor ERS TEF L18 Small 2 Sector,West and East Unwind,Small,20W,2,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,ERS,N/A,N/A,West and East Unwind Small 20W 2 Outdoor Outdoor Eltek No N/A No ERS ERS ERS N/A N/A,B3 Outdoor ERS TEF L18 Small 2 Sector,
33,B3 Indoor ERS TEF Small 3 Sector,West and East Unwind,Small,20W,3,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,West and East Unwind Small 20W 3 Indoor Indoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Indoor ERS TEF Small 3 Sector,
33,B3 Outdoor ERS TEF Small 3 Sector,West and East Unwind,Small,20W,3,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,West and East Unwind Small 20W 3 Outdoor Outdoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Outdoor ERS TEF Small 3 Sector,
35,B3 Indoor ERS TEF Small 2 Sector,West and East Unwind,Small,20W,2,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,West and East Unwind Small 20W 2 Indoor Indoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Indoor ERS TEF Small 2 Sector,
35,B3 Outdoor ERS TEF Small 2 Sector,West and East Unwind,Small,20W,2,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,West and East Unwind Small 20W 2 Outdoor Outdoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Outdoor ERS TEF Small 2 Sector,
36,B3 Outdoor ERS TEF Small SF 3 Sector,West and East Unwind,Small,20W,3,Outdoor,Outdoor All units in York/Shire cab,No,N/A,Yes,ERS,ERS,N/A,N/A,N/A,West and East Unwind Small 20W 3 Outdoor Outdoor All units in York/Shire cab No N/A Yes ERS ERS N/A N/A N/A,B3 Outdoor ERS TEF Small SF 3 Sector,
38,B3 Outdoor ERS TEF Small SF 2 Sector,West and East Unwind,Small,20W,2,Outdoor,Outdoor All units in York/Shire cab,No,N/A,Yes,ERS,ERS,N/A,N/A,N/A,West and East Unwind Small 20W 2 Outdoor Outdoor All units in York/Shire cab No N/A Yes ERS ERS N/A N/A N/A,B3 Outdoor ERS TEF Small SF 2 Sector,
39,B3 Outdoor ERS TEF L18 Small SF 3 Sector,West and East Unwind,Small,20W,3,Outdoor,Outdoor All units in York/Shire cab,No,N/A,Yes,ERS,ERS,ERS,N/A,N/A,West and East Unwind Small 20W 3 Outdoor Outdoor All units in York/Shire cab No N/A Yes ERS ERS ERS N/A N/A,B3 Outdoor ERS TEF L18 Small SF 3 Sector,
41,B3 Outdoor ERS TEF L18 Small SF 2 Sector,West and East Unwind,Small,20W,2,Outdoor,Outdoor All units in York/Shire cab,No,N/A,Yes,ERS,ERS,ERS,N/A,N/A,West and East Unwind Small 20W 2 Outdoor Outdoor All units in York/Shire cab No N/A Yes ERS ERS ERS N/A N/A,B3 Outdoor ERS TEF L18 Small SF 2 Sector,
42,B3 Indoor ERS TEF Network Rail (NR) 3 Sector,West and East Unwind,Network Rail,20W,3,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,West and East Unwind Network Rail 20W 3 Indoor Indoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Indoor ERS TEF Network Rail (NR) 3 Sector,
42,B3 Outdoor ERS TEF Network Rail (NR) 3 Sector,West and East Unwind,Network Rail,20W,3,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,West and East Unwind Network Rail 20W 3 Outdoor Outdoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Outdoor ERS TEF Network Rail (NR) 3 Sector,
44,B3 Indoor ERS TEF Network Rail (NR) 2 Sector,West and East Unwind,Network Rail,20W,2,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,West and East Unwind Network Rail 20W 2 Indoor Indoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Indoor ERS TEF Network Rail (NR) 2 Sector,
44,B3 Outdoor ERS TEF Network Rail (NR) 2 Sector,West and East Unwind,Network Rail,20W,2,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,West and East Unwind Network Rail 20W 2 Outdoor Outdoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Outdoor ERS TEF Network Rail (NR) 2 Sector,
45,B3 Indoor ERS TEF Low 3 Sector,West and East Unwind,Low,20W,3,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,West and East Unwind Low 20W 3 Indoor Indoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Indoor ERS TEF Low 3 Sector,
45,B3 Outdoor ERS TEF Low 3 Sector,West and East Unwind,Low,20W,3,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,West and East Unwind Low 20W 3 Outdoor Outdoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Outdoor ERS TEF Low 3 Sector,
47,B3 Indoor ERS TEF Low 2 Sector,West and East Unwind,Low,20W,2,Indoor,Indoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,West and East Unwind Low 20W 2 Indoor Indoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Indoor ERS TEF Low 2 Sector,
47,B3 Outdoor ERS TEF Low 2 Sector,West and East Unwind,Low,20W,2,Outdoor,Outdoor Eltek,No,N/A,No,ERS,ERS,N/A,N/A,N/A,West and East Unwind Low 20W 2 Outdoor Outdoor Eltek No N/A No ERS ERS N/A N/A N/A,B3 Outdoor ERS TEF Low 2 Sector,
Beacon 1 to Beacon 3 Upgrades,,,,,,,,,,,,,,,,,,
17,B1 to B3 Upgrade - Indoor 20W High - 3 Sector,Beacon 1 to Beacon 3 Upgrades,High,20W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 02,Macro,Yes,Beacon 1 to Beacon 3 Upgrades High 20W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 02 Macro Yes,B1 to B3 Upgrade - Indoor 20W High - 3 Sector,
17,B1 to B3 Upgrade - Outdoor 20W High - 3 Sector,Beacon 1 to Beacon 3 Upgrades,High,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,RUS 02,Macro,Yes,Beacon 1 to Beacon 3 Upgrades High 20W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS RUS 02 Macro Yes,B1 to B3 Upgrade - Outdoor 20W High - 3 Sector,
21,B1 to B3 Upgrade - Indoor 20W High - 2 Sector,Beacon 1 to Beacon 3 Upgrades,High,20W,2,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 02,Macro,Yes,Beacon 1 to Beacon 3 Upgrades High 20W 2 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 02 Macro Yes,B1 to B3 Upgrade - Indoor 20W High - 2 Sector,
