SCD page,TelefonicaConfiguration,SCD,Capacity Model,12W/20W,Sectors,Indoor/Outdoor,2G/3G/4G Cabinet Type,Double cabinet,Lancaster/York cabinet upgrade,BB units in York/Lancaster cab,G9 end type,L800 end type,L1800 end type,2100 existing,LTE DUS to BB UG,Concatenation,Telefonica Configuration,Comments
32,B1 to B3 Upgrade - Outdoor 20W Small - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Small,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 20W Small - 3 Sector,
33,B1 to B3 Upgrade - Indoor 20W Small - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Small,20W,2,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 2 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS N/A Macro Yes,B1 to B3 Upgrade - Indoor 20W Small - 2 Sector,
33,B1 to B3 Upgrade - Outdoor 20W Small - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Small,20W,2,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 2 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 20W Small - 2 Sector,
32,B1 to B3 Upgrade - Indoor 20W Small - 3 Sector + L18 2x2 4415 Option,Beacon 1 to Beacon 3 Upgrades,Small,20W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,Radio 4415,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS Radio 4415 Macro Yes,B1 to B3 Upgrade - Indoor 20W Small - 3 Sector + L18 2x2 4415 Option,
32,B1 to B3 Upgrade - Outdoor 20W Small - 3 Sector + L18 2x2 4415 Option,Beacon 1 to Beacon 3 Upgrades,Small,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,Radio 4415,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS Radio 4415 Macro Yes,B1 to B3 Upgrade - Outdoor 20W Small - 3 Sector + L18 2x2 4415 Option,
33,B1 to B3 Upgrade - Indoor 20W Small - 2 Sector + L18 2x2 4415 Option,Beacon 1 to Beacon 3 Upgrades,Small,20W,2,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,Radio 4415,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 2 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS Radio 4415 Macro Yes,B1 to B3 Upgrade - Indoor 20W Small - 2 Sector + L18 2x2 4415 Option,
33,B1 to B3 Upgrade - Outdoor 20W Small - 2 Sector + L18 2x2 4415 Option,Beacon 1 to Beacon 3 Upgrades,Small,20W,2,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,Radio 4415,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 2 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS Radio 4415 Macro Yes,B1 to B3 Upgrade - Outdoor 20W Small - 2 Sector + L18 2x2 4415 Option,
34,B1 to B3 Upgrade - Indoor 20W Small U2100 RRU - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Small,20W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,N/A,ERS,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS N/A ERS Yes,B1 to B3 Upgrade - Indoor 20W Small U2100 RRU - 3 Sector,
34,B1 to B3 Upgrade - Outdoor 20W Small U2100 RRU - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Small,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,N/A,ERS,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS N/A ERS Yes,B1 to B3 Upgrade - Outdoor 20W Small U2100 RRU - 3 Sector,
35,B1 to B3 Upgrade - Outdoor 20W Small SF - 3 Sector (York),Beacon 1 to Beacon 3 Upgrades,Small,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,6102 to York,No,Macro,Macro to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 3 Outdoor Outdoor AC RBS 6102 Yes 6102 to York No Macro Macro to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 20W Small SF - 3 Sector (York),
36,B1 to B3 Upgrade - Outdoor 20W Small SF - 2 Sector (York),Beacon 1 to Beacon 3 Upgrades,Small,20W,2,Outdoor,Outdoor AC RBS 6102,Yes,6102 to York,No,Macro,Macro to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 2 Outdoor Outdoor AC RBS 6102 Yes 6102 to York No Macro Macro to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 20W Small SF - 2 Sector (York),
37,B1 to B3 Upgrade - Outdoor 20W L18 Small SF - 3 Sector (York),Beacon 1 to Beacon 3 Upgrades,Small,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,6102 to York,No,Macro,Macro to ERS,Radio 4480,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 3 Outdoor Outdoor AC RBS 6102 Yes 6102 to York No Macro Macro to ERS Radio 4480 Macro Yes,B1 to B3 Upgrade - Outdoor 20W L18 Small SF - 3 Sector (York),
38,B1 to B3 Upgrade - Outdoor 20W Small SF Retrofit - 3 Sector (York),Beacon 1 to Beacon 3 Upgrades,Small,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,Retrofit to York,No,Macro,Macro to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 3 Outdoor Outdoor AC RBS 6102 Yes Retrofit to York No Macro Macro to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 20W Small SF Retrofit - 3 Sector (York),
39,B1 to B3 Upgrade - Outdoor 20W L18 Small SF Retrofit - 3 Sector (York),Beacon 1 to Beacon 3 Upgrades,Small,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,Retrofit to York,No,Macro,Macro to ERS,Radio 4480,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 20W 3 Outdoor Outdoor AC RBS 6102 Yes Retrofit to York No Macro Macro to ERS Radio 4480 Macro Yes,B1 to B3 Upgrade - Outdoor 20W L18 Small SF Retrofit - 3 Sector (York),
40,B1 to B3 Upgrade - Indoor 20W Stealth - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Stealth,20W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,Macro to Macro,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Stealth 20W 3 Indoor Indoor DC RBS 6201 Yes No No Macro Macro to Macro RUS 01 Macro Yes,B1 to B3 Upgrade - Indoor 20W Stealth - 3 Sector,
40,B1 to B3 Upgrade - Outdoor 20W Stealth - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Stealth,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,Macro to Macro,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Stealth 20W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro Macro to Macro RUS 01 Macro Yes,B1 to B3 Upgrade - Outdoor 20W Stealth - 3 Sector,
41,B1 to B3 Upgrade - Outdoor 20W Stealth - 3 Sector Option 2 Lancaster,Beacon 1 to Beacon 3 Upgrades,Stealth,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,6102 to Lancaster,Yes,Macro,Macro to ERS,Radio 2217,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Stealth 20W 3 Outdoor Outdoor AC RBS 6102 Yes 6102 to Lancaster Yes Macro Macro to ERS Radio 2217 Macro Yes,B1 to B3 Upgrade - Outdoor 20W Stealth - 3 Sector Option 2 Lancaster,
42,B1 to B3 Upgrade - Indoor 20W Stealth (No L18) - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Stealth,20W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,Macro to Macro,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Stealth 20W 3 Indoor Indoor DC RBS 6201 Yes No No Macro Macro to Macro N/A Macro Yes,B1 to B3 Upgrade - Indoor 20W Stealth (No L18) - 3 Sector,
42,B1 to B3 Upgrade - Outdoor 20W Stealth (No L18) - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Stealth,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,Macro to Macro,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Stealth 20W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro Macro to Macro N/A Macro Yes,B1 to B3 Upgrade - Outdoor 20W Stealth (No L18) - 3 Sector,
43,B1 to B3 Upgrade - Outdoor 20W Stealth (No L18) - 3 Sector Option 2 Lancaster,Beacon 1 to Beacon 3 Upgrades,Stealth,20W,3,Outdoor,Outdoor AC RBS 6102,Yes,6102 to Lancaster,Yes,Macro,Macro to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Stealth 20W 3 Outdoor Outdoor AC RBS 6102 Yes 6102 to Lancaster Yes Macro Macro to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 20W Stealth (No L18) - 3 Sector Option 2 Lancaster,
44,B1 to B3 Upgrade - Indoor 20W Low - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,3,Indoor,Indoor DC RBS 6201,No,No,No,Macro,ERS to ERS,N/A,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 3 Indoor Indoor DC RBS 6201 No No No Macro ERS to ERS N/A N/A Yes,B1 to B3 Upgrade - Indoor 20W Low - 3 Sector,
44,B1 to B3 Upgrade - Outdoor 20W Low - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,3,Outdoor,Outdoor AC RBS 6102,No,No,No,Macro,ERS to ERS,N/A,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 3 Outdoor Outdoor AC RBS 6102 No No No Macro ERS to ERS N/A N/A Yes,B1 to B3 Upgrade - Outdoor 20W Low - 3 Sector,
45,B1 to B3 Upgrade - Indoor 20W Low - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,2,Indoor,Indoor DC RBS 6201,No,No,No,Macro,ERS to ERS,N/A,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 2 Indoor Indoor DC RBS 6201 No No No Macro ERS to ERS N/A N/A Yes,B1 to B3 Upgrade - Indoor 20W Low - 2 Sector,
45,B1 to B3 Upgrade - Outdoor 20W Low - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,2,Outdoor,Outdoor AC RBS 6102,No,No,No,Macro,ERS to ERS,N/A,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 2 Outdoor Outdoor AC RBS 6102 No No No Macro ERS to ERS N/A N/A Yes,B1 to B3 Upgrade - Outdoor 20W Low - 2 Sector,
46,B1 to B3 Upgrade - Indoor 20W Low L18 - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,2,Indoor,Indoor DC RBS 6201,No,No,No,Macro,ERS to ERS,RUS 01,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 2 Indoor Indoor DC RBS 6201 No No No Macro ERS to ERS RUS 01 N/A Yes,B1 to B3 Upgrade - Indoor 20W Low L18 - 2 Sector,
47,B1 to B3 Upgrade - Indoor 20W Low Non-RRU BB - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,3,Indoor,Indoor DC RBS 6201,No,No,No,Macro,Macro to Macro,N/A,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 3 Indoor Indoor DC RBS 6201 No No No Macro Macro to Macro N/A N/A Yes,B1 to B3 Upgrade - Indoor 20W Low Non-RRU BB - 3 Sector,1 to 2
47,B1 to B3 Upgrade - Outdoor 20W Low Non-RRU BB - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,3,Outdoor,Outdoor AC RBS 6102,No,No,No,Macro,Macro to Macro,N/A,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 3 Outdoor Outdoor AC RBS 6102 No No No Macro Macro to Macro N/A N/A Yes,B1 to B3 Upgrade - Outdoor 20W Low Non-RRU BB - 3 Sector,1 to 2
47,B1 to B3 Upgrade - Indoor 20W Low Non-RRU BB - 3 Sector to 20W Low ULNR,Beacon 1 to Beacon 3 Upgrades,Low,20W,3,Indoor,Indoor DC RBS 6201,No,No,No,Macro,Macro to ERS,N/A,N/A,No,Beacon 1 to Beacon 3 Upgrades Low 20W 3 Indoor Indoor DC RBS 6201 No No No Macro Macro to ERS N/A N/A No,B1 to B3 Upgrade - Indoor 20W Low Non-RRU BB - 3 Sector to 20W Low ULNR,2 to 3
47,B1 to B3 Upgrade - Outdoor 20W Low Non-RRU BB - 3 Sector to 20W Low ULNR,Beacon 1 to Beacon 3 Upgrades,Low,20W,3,Outdoor,Outdoor AC RBS 6102,No,No,No,Macro,Macro to ERS,N/A,N/A,No,Beacon 1 to Beacon 3 Upgrades Low 20W 3 Outdoor Outdoor AC RBS 6102 No No No Macro Macro to ERS N/A N/A No,B1 to B3 Upgrade - Outdoor 20W Low Non-RRU BB - 3 Sector to 20W Low ULNR,2 to 3
47,B1 to B3 Upgrade - Indoor 20W Low ULNR - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,3,Indoor,Indoor DC RBS 6201,No,No,No,Macro,Macro to ERS,N/A,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 3 Indoor Indoor DC RBS 6201 No No No Macro Macro to ERS N/A N/A Yes,B1 to B3 Upgrade - Indoor 20W Low ULNR - 3 Sector,1 to 3
47,B1 to B3 Upgrade - Outdoor 20W Low ULNR - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,3,Outdoor,Outdoor AC RBS 6102,No,No,No,Macro,Macro to ERS,N/A,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 3 Outdoor Outdoor AC RBS 6102 No No No Macro Macro to ERS N/A N/A Yes,B1 to B3 Upgrade - Outdoor 20W Low ULNR - 3 Sector,1 to 3
48,B1 to B3 Upgrade - Indoor 20W Low Non-RRU BB - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,2,Indoor,Indoor DC RBS 6201,No,No,No,Macro,Macro to Macro,N/A,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 2 Indoor Indoor DC RBS 6201 No No No Macro Macro to Macro N/A N/A Yes,B1 to B3 Upgrade - Indoor 20W Low Non-RRU BB - 2 Sector,1 to 2
48,B1 to B3 Upgrade - Outdoor 20W Low Non-RRU BB - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,2,Outdoor,Outdoor AC RBS 6102,No,No,No,Macro,Macro to Macro,N/A,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 2 Outdoor Outdoor AC RBS 6102 No No No Macro Macro to Macro N/A N/A Yes,B1 to B3 Upgrade - Outdoor 20W Low Non-RRU BB - 2 Sector,1 to 2
48,B1 to B3 Upgrade - Indoor 20W Low Non-RRU BB - 2 Sector to 20W Low ULNR,Beacon 1 to Beacon 3 Upgrades,Low,20W,2,Indoor,Indoor DC RBS 6201,No,No,No,Macro,Macro to ERS,N/A,N/A,No,Beacon 1 to Beacon 3 Upgrades Low 20W 2 Indoor Indoor DC RBS 6201 No No No Macro Macro to ERS N/A N/A No,B1 to B3 Upgrade - Indoor 20W Low Non-RRU BB - 2 Sector to 20W Low ULNR,2 to 3
48,B1 to B3 Upgrade - Outdoor 20W Low Non-RRU BB - 2 Sector to 20W Low ULNR,Beacon 1 to Beacon 3 Upgrades,Low,20W,2,Outdoor,Outdoor AC RBS 6102,No,No,No,Macro,Macro to ERS,N/A,N/A,No,Beacon 1 to Beacon 3 Upgrades Low 20W 2 Outdoor Outdoor AC RBS 6102 No No No Macro Macro to ERS N/A N/A No,B1 to B3 Upgrade - Outdoor 20W Low Non-RRU BB - 2 Sector to 20W Low ULNR,2 to 3
48,B1 to B3 Upgrade - Indoor 20W Low ULNR - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,2,Indoor,Indoor DC RBS 6201,No,No,No,Macro,Macro to ERS,N/A,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 2 Indoor Indoor DC RBS 6201 No No No Macro Macro to ERS N/A N/A Yes,B1 to B3 Upgrade - Indoor 20W Low ULNR - 2 Sector,1 to 3
48,B1 to B3 Upgrade - Outdoor 20W Low ULNR - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Low,20W,2,Outdoor,Outdoor AC RBS 6102,No,No,No,Macro,Macro to ERS,N/A,N/A,Yes,Beacon 1 to Beacon 3 Upgrades Low 20W 2 Outdoor Outdoor AC RBS 6102 No No No Macro Macro to ERS N/A N/A Yes,B1 to B3 Upgrade - Outdoor 20W Low ULNR - 2 Sector,1 to 3
49,B1 to B3 Upgrade - Indoor 12W High - 3 Sector,Beacon 1 to Beacon 3 Upgrades,High,12W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 02,Macro,Yes,Beacon 1 to Beacon 3 Upgrades High 12W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 02 Macro Yes,B1 to B3 Upgrade - Indoor 12W High - 3 Sector,
49,B1 to B3 Upgrade - Outdoor 12W High - 3 Sector,Beacon 1 to Beacon 3 Upgrades,High,12W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,RUS 02,Macro,Yes,Beacon 1 to Beacon 3 Upgrades High 12W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS RUS 02 Macro Yes,B1 to B3 Upgrade - Outdoor 12W High - 3 Sector,
50,B1 to B3 Upgrade - Indoor 12W High - 2 Sector,Beacon 1 to Beacon 3 Upgrades,High,12W,2,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 02,Macro,Yes,Beacon 1 to Beacon 3 Upgrades High 12W 2 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 02 Macro Yes,B1 to B3 Upgrade - Indoor 12W High - 2 Sector,
50,B1 to B3 Upgrade - Outdoor 12W High - 2 Sector,Beacon 1 to Beacon 3 Upgrades,High,12W,2,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,RUS 02,Macro,Yes,Beacon 1 to Beacon 3 Upgrades High 12W 2 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS RUS 02 Macro Yes,B1 to B3 Upgrade - Outdoor 12W High - 2 Sector,
51,B1 to B3 Upgrade - Indoor 12W Medium/L18 Small - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Medium,12W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Medium 12W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Indoor 12W Medium/L18 Small - 3 Sector,
51,B1 to B3 Upgrade - Outdoor 12W Medium/L18 Small - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Medium,12W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Medium 12W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Outdoor 12W Medium/L18 Small - 3 Sector,
52,B1 to B3 Upgrade - Indoor 12W Medium/L18 Small - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Medium,12W,2,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Medium 12W 2 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Indoor 12W Medium/L18 Small - 2 Sector,
52,B1 to B3 Upgrade - Outdoor 12W Medium/L18 Small - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Medium,12W,2,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,RUS 01,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Medium 12W 2 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS RUS 01 Macro Yes,B1 to B3 Upgrade - Outdoor 12W Medium/L18 Small - 2 Sector,
53,B1 to B3 Upgrade - Indoor 12W Small - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Small,12W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS N/A Macro Yes,B1 to B3 Upgrade - Indoor 12W Small - 3 Sector,
53,B1 to B3 Upgrade - Outdoor 12W Small - 3 Sector,Beacon 1 to Beacon 3 Upgrades,Small,12W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 12W Small - 3 Sector,
54,B1 to B3 Upgrade - Indoor 12W Small - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Small,12W,2,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 2 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS N/A Macro Yes,B1 to B3 Upgrade - Indoor 12W Small - 2 Sector,
54,B1 to B3 Upgrade - Outdoor 12W Small - 2 Sector,Beacon 1 to Beacon 3 Upgrades,Small,12W,2,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 2 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 12W Small - 2 Sector,
53,B1 to B3 Upgrade - Indoor 12W Small - 3 Sector + L18 2x2 4415 Option,Beacon 1 to Beacon 3 Upgrades,Small,12W,3,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,Radio 4415,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 3 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS Radio 4415 Macro Yes,B1 to B3 Upgrade - Indoor 12W Small - 3 Sector + L18 2x2 4415 Option,
53,B1 to B3 Upgrade - Outdoor 12W Small - 3 Sector + L18 2x2 4415 Option,Beacon 1 to Beacon 3 Upgrades,Small,12W,3,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,Radio 4415,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 3 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS Radio 4415 Macro Yes,B1 to B3 Upgrade - Outdoor 12W Small - 3 Sector + L18 2x2 4415 Option,
54,B1 to B3 Upgrade - Indoor 12W Small - 2 Sector + L18 2x2 4415 Option,Beacon 1 to Beacon 3 Upgrades,Small,12W,2,Indoor,Indoor DC RBS 6201,Yes,No,No,Macro,ERS to ERS,Radio 4415,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 2 Indoor Indoor DC RBS 6201 Yes No No Macro ERS to ERS Radio 4415 Macro Yes,B1 to B3 Upgrade - Indoor 12W Small - 2 Sector + L18 2x2 4415 Option,
54,B1 to B3 Upgrade - Outdoor 12W Small - 2 Sector + L18 2x2 4415 Option,Beacon 1 to Beacon 3 Upgrades,Small,12W,2,Outdoor,Outdoor AC RBS 6102,Yes,No,No,Macro,ERS to ERS,Radio 4415,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 2 Outdoor Outdoor AC RBS 6102 Yes No No Macro ERS to ERS Radio 4415 Macro Yes,B1 to B3 Upgrade - Outdoor 12W Small - 2 Sector + L18 2x2 4415 Option,
55,B1 to B3 Upgrade - Outdoor 12W Small SF - 3 Sector (York),Beacon 1 to Beacon 3 Upgrades,Small,12W,3,Outdoor,Outdoor AC RBS 6102,Yes,6102 to York,No,Macro,Macro to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 3 Outdoor Outdoor AC RBS 6102 Yes 6102 to York No Macro Macro to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 12W Small SF - 3 Sector (York),
56,B1 to B3 Upgrade - Outdoor 12W Small SF - 2 Sector (York),Beacon 1 to Beacon 3 Upgrades,Small,12W,2,Outdoor,Outdoor AC RBS 6102,Yes,6102 to York,No,Macro,Macro to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 2 Outdoor Outdoor AC RBS 6102 Yes 6102 to York No Macro Macro to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 12W Small SF - 2 Sector (York),
57,B1 to B3 Upgrade - Outdoor 12W L18 Small SF - 3 Sector (York),Beacon 1 to Beacon 3 Upgrades,Small,12W,3,Outdoor,Outdoor AC RBS 6102,Yes,6102 to York,No,Macro,Macro to ERS,Radio 4480,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 3 Outdoor Outdoor AC RBS 6102 Yes 6102 to York No Macro Macro to ERS Radio 4480 Macro Yes,B1 to B3 Upgrade - Outdoor 12W L18 Small SF - 3 Sector (York),
58,B1 to B3 Upgrade - Outdoor 12W Small SF Retrofit - 3 Sector (York),Beacon 1 to Beacon 3 Upgrades,Small,12W,3,Outdoor,Outdoor AC RBS 6102,Yes,Retrofit to York,No,Macro,Macro to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 3 Outdoor Outdoor AC RBS 6102 Yes Retrofit to York No Macro Macro to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 12W Small SF Retrofit - 3 Sector (York),
59,B1 to B3 Upgrade - Outdoor 12W Small SF Retrofit - 2 Sector (York),Beacon 1 to Beacon 3 Upgrades,Small,12W,2,Outdoor,Outdoor AC RBS 6102,Yes,Retrofit to York,No,Macro,Macro to ERS,N/A,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 2 Outdoor Outdoor AC RBS 6102 Yes Retrofit to York No Macro Macro to ERS N/A Macro Yes,B1 to B3 Upgrade - Outdoor 12W Small SF Retrofit - 2 Sector (York),
60,B1 to B3 Upgrade - Outdoor 12W L18 Small SF Retrofit - 3 Sector (York),Beacon 1 to Beacon 3 Upgrades,Small,12W,3,Outdoor,Outdoor AC RBS 6102,Yes,Retrofit to York,No,Macro,Macro to ERS,Radio 4480,Macro,Yes,Beacon 1 to Beacon 3 Upgrades Small 12W 3 Outdoor Outdoor AC RBS 6102 Yes Retrofit to York No Macro Macro to ERS Radio 4480 Macro Yes,B1 to B3 Upgrade - Outdoor 12W L18 Small SF Retrofit - 3 Sector (York),
