SCD,TelefonicaConfiguration,"Controlling node
(SHU B1)",SupportSystemControl,ClimateSystem,ClimateControlMode ,"Ext Node 1
(SHU A5)","Ext Node 2
(SHU A6)","Ext Node 3
(SHU A7)","Ext Node 4
(SCU EC-B)","Ext Node 5
(SHU A3 or SCU EC-E)",,Conrtolling node,SupportSystemControl,ClimateSystem,ClimateControlMode ,"Ext Node 1
(SHU A5)","Ext Node 2
(SHU A6)","Ext Node 3
(SHU A7)","Ext Node 4
(SCU EC-B)","Ext Node 5
(SHU A3 or SCU EC-E)",,SupportSystemControl,ClimateSystem,ClimateControlMode ,SupportSystemControl,ClimateSystem,ClimateControlMode ,SupportSystemControl,ClimateSystem,ClimateControlMode 
Removed(Orange),RBS 6102 2-Sector L1800 20W Small Non-RRU (SF) - Enclosure 6147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 57,RBS 6102 3-Sector L1800 20W Small Non-RRU (SF) - Option 2 Lancaster Removal of 1 x 6102,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE,Extended,Normal,TRUE,Extended,Normal,TRUE,Standard,Normal
Removed(Orange),20W-Small-Outdoor - Retro-Non-RRU-3 Sector - DUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 58,20W-Small-Outdoor - Retro-Non-RRU-3 Sector - Baseband,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE,Extended,Normal,TRUE,Extended,Normal,TRUE,Standard,Normal
B2 60,RBS 6102 3-Sector L1800 20W Small Non-RRU Retrofit (SF),U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE,Extended,Normal,TRUE,Extended,Normal,TRUE,Standard,Normal
B2 61,20W-Small-Outdoor-Retro-Non-RRU-3 Sector-Baseband-Single Cabinet,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,VFE LTE BB,U9 DUW,U21 DUW,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 62,20W-Small-Outdoor-Retro-Non-RRU-2 Sector-Baseband-Single Cabinet,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,VFE LTE BB,U9 DUW,U21 DUW,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 63,L1800 20W-Small-Outdoor-Retro-Non-RRU-3 Sector-Single Cabinet,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,VFE LTE BB,U9 DUW,U21 DUW,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 64,20W-Stealth-Indoor-Non-RRU-3 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 67,20W-Stealth-Indoor-Non-RRU-3 Sector No L1800,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 64,20W-Stealth-Outdoor-Non-RRU-3 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 65,20W-Stealth-Outdoor-Non-RRU-3 Sector - Option 2 Lancaster Removal of 1 x 6102,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE,Extended,Normal,TRUE,Extended,Normal,TRUE,Standard,Normal
B2 67,20W-Stealth-Outdoor-Non-RRU-3 Sector No L1800,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 68,20W-Stealth-Outdoor-Non-RRU-3 Sector No L1800 - Option 2 Lancaster Removal of 1 x 6102,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE,Extended,Normal,TRUE,Extended,Normal,TRUE,Standard,Normal
Removed(Orange),20W-Stealth-Indoor-Non-RRU-1 Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),20W-Stealth-Indoor-Non-RRU-1 Sector No L1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),20W-Stealth-Outdoor-Non-RRU-1 Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),20W-Stealth-Outdoor-Non-RRU-1 Sector No L1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 69,RBS6201 3-Sector 20W Low Capacity,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,TEF LTE DUS,VFE LTE DUS,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 69,RBS6201 3-Sector 20W Low Capacity (Radio 2217),U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,TEF LTE DUS,VFE LTE DUS,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 69,RBS6102 3-Sector 20W Low Capacity,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,TEF LTE DUS,VFE LTE DUS,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 69,RBS6102 3-Sector 20W Low Capacity (Radio 2217),U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,TEF LTE DUS,VFE LTE DUS,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 70,RBS6201 2-Sector 20W Low Capacity,U900 DUW,TRUE,Extended,Normal,DUG-1,TEF LTE DUS,VFE LTE DUS,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 70,RBS6201 2-Sector 20W Low Capacity (Radio 2217),U900 DUW,TRUE,Extended,Normal,DUG-1,TEF LTE DUS,VFE LTE DUS,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 70,RBS6102 2-Sector 20W Low Capacity,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,TEF LTE DUS,VFE LTE DUS,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 70,RBS6102 2-Sector 20W Low Capacity (Radio 2217),U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,TEF LTE DUS,VFE LTE DUS,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 71,RBS6201 1-Sector 20W Low Capacity,U900 DUW,TRUE,Extended,Normal,DUG-1,TEF LTE DUS,VFE LTE DUS,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 71,RBS6201 1-Sector 20W Low Capacity (Radio 2217),U900 DUW,TRUE,Extended,Normal,DUG-1,TEF LTE DUS,VFE LTE DUS,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 71,RBS6102 1-Sector 20W Low Capacity,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,TEF LTE DUS,VFE LTE DUS,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 71,RBS6102 1-Sector 20W Low Capacity (Radio 2217),U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,TEF LTE DUS,VFE LTE DUS,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 72,RBS6201 2-Sector L1800 20W Low Capacity,U900 DUW,TRUE,Extended,Normal,DUG-1,TEF LTE DUS,VFE LTE DUS,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 72,RBS6201 2-Sector L1800 20W Low Capacity (Radio 2217),U900 DUW,TRUE,Extended,Normal,DUG-1,TEF LTE DUS,VFE LTE DUS,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Removed(Orange),RBS6102 2-Sector L1800 20W Low Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),RBS6102 2-Sector L1800 20W Low Capacity (Radio 2217),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 73,RBS6201 3-Sector 20W Low Non-RRU,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,TEF LTE DUS,VFE LTE DUS,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 73,RBS6102 3-Sector 20W Low Non-RRU,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,TEF LTE DUS,VFE LTE DUS,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 74,RBS6201 2-Sector 20W Low Non-RRU,U900 DUW,TRUE,Extended,Normal,DUG-1,TEF LTE DUS,VFE LTE DUS,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 74,RBS6102 2-Sector 20W Low Non-RRU,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,TEF LTE DUS,VFE LTE DUS,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 75,RBS6202 3-Sector DUW31 U2100 Only Retrofit,TEF LTE DUS,TRUE,Standard,Normal,VFE LTE DUS,U21 DUW,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,
B2 76,RBS6601 3-Sector 20W Medium All RRU (Modular),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 78,20W-Small UL-Indoor-L800-RRU-3 Sector,TEF LTE BB,TRUE,Extended,Normal,DUG-1,DUG-2,VFE LTE BB,U9 DUW,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 78,20W-Small UL-Outdoor-L800-RRU-3 Sector,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,VFE LTE BB,U9 DUW,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 78,20W-Small (2217) UL-Outdoor-L800-RRU-3 Sector,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,VFE LTE BB,U9 DUW,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 79,20W-Small UL-Indoor-L800-RRU-2 Sector,TEF LTE BB,TRUE,Extended,Normal,DUG-1,VFE LTE BB,U9 DUW,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 79,20W-Small UL-Outdoor-L800-RRU-2 Sector,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,VFE LTE BB,U9 DUW,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 80,20W-Small ULNR-Outdoor-Non-RRU (SF)-3 Sector,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,VFE LTE BB,U9 DUW,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 81,B2 Upgrade U2100 to B2 20W Small SF-3 Sector,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,VFE LTE BB,U9 BB,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 82,B2 Upgrade U2100 to B2 20W Stealth-3 Sector,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,VFE LTE BB,U9 BB,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 83/5G (1.2) 13,12W-High-Indoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 83/5G (1.2) 13,12W-High-Outdoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 84/5G (1.2) 14,12W-High-Indoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 84/5G (1.2) 14,12W-High-Outdoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 85,12W-High-Indoor-L800 RRU-1 Sector,TEF LTE BB,TRUE,Extended,Normal,DUG-1,VFE LTE BB,U9 DUW,U21 DUW,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 85,12W-High-Outdoor-L800 RRU-1 Sector,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,VFE LTE BB,U9 DUW,U21 DUW,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 86/5G (1.2) 15,12W-Medium-Indoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 86/5G (1.2) 15,12W-Medium-Outdoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 87/5G (1.2) 16,12W-Medium-Indoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 87/5G (1.2) 16,12W-Medium-Outdoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 88,12W-Medium-Indoor-L800 RRU-1 Sector,TEF LTE BB,TRUE,Extended,Normal,DUG-1,VFE LTE BB,U9 DUW,U21 DUW,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 88,12W-Medium-Outdoor-L800 RRU-1 Sector,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,VFE LTE BB,U9 DUW,U21 DUW,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 86/5G (1.2) 15,12W-Small-Indoor-L800 RRU-3 Sector L1800,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 86/5G (1.2) 15,12W-Small-Outdoor-L800 RRU-3 Sector L1800,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 87/5G (1.2) 16,12W-Small-Indoor-L800 RRU-2 Sector L1800,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 87/5G (1.2) 16,12W-Small-Outdoor-L800 RRU-2 Sector L1800,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 88,12W-Small-Indoor-L800 RRU-1 Sector L1800,TEF LTE BB,TRUE,Extended,Normal,DUG-1,VFE LTE BB,U9 DUW,U21 DUW,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 88,12W-Small-Outdoor-L800 RRU-1 Sector L1800,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,VFE LTE BB,U9 DUW,U21 DUW,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Removed(Orange),12W-Small-Indoor-L800 RRU-3 Sector No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),12W-Small-Outdoor-L800 RRU-3 Sector No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),12W-Small-Indoor-L800 RRU-2 Sector No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),12W-Small-Outdoor-L800 RRU-2 Sector No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 89/5G (1.2) 18,12W-Small-Indoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 89/5G (1.2) 18,12W-Small-Outdoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 90,12W-Small-Indoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 90,12W-Small-Outdoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 91,B2 Upgrade of Small SF 12W – 3 sectors Redesigned to ERS 2217,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,DUG-3,U21 DUW,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 92,B2 Upgrade of Small SF 12W – 2 sectors Redesigned to ERS 2217,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Removed(Orange),12W-Small-Outdoor-Non-RRU-3 Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 93,12W-Small-Outdoor-Non-RRU-3 Sector - Option 2 Lancaster Removal of RBS 6102,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,DUG-3,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE,Extended,Normal,TRUE,Extended,Normal,TRUE,Standard,Normal
Removed(Orange),12W-Small-Outdoor-Non-RRU-2 Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 94,12W-Small-Outdoor-Non-RRU-2 Sector - Option 2 Lancaster Removal of RBS 6102,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE,Extended,Normal,TRUE,Extended,Normal,TRUE,Standard,Normal
B2 95,12W-Small-Outdoor-Non-RRU-3 Sector L1800,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,,,,,,,,,
B2 95,12W-Small-Outdoor-Non-RRU-3 Sector L1800 - Enclosure 6147,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,,,,,,,,,
B2 96,B2 Upgrade of Small SF 1800 12W – 2 sectors 2217 B1 in Lancaster,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,,,,,,,,,
Removed(Orange),12W-Small-Outdoor-Non-RRU-2 Sector L1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),12W-Small-Outdoor-Non-RRU-2 Sector L1800 - Enclosure 6147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 97,12W-Small-Outdoor-Non-RRU-3 Sector L1800 - Option 2 Lancaster Removal of 1 x 6102,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,DUG-3,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE,Extended,Normal,TRUE,Extended,Normal,TRUE,Standard,Normal
Removed(Orange),12W-Small-Outdoor - Retro-Non-RRU-3 Sector - DUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 98,12W-Small-Outdoor - Retro-Non-RRU-3 Sector - Baseband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),12W-Small-Outdoor - Retro-Non-RRU-2 Sector - DUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 99,12W-Small-Outdoor - Retro-Non-RRU-2 Sector - Baseband,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE,Extended,Normal,TRUE,Extended,Normal,TRUE,Standard,Normal
B2 100,RBS 6102 3-Sector L1800 12W Small Non-RRU Retrofit (SF),U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,TRUE,Extended,Normal,TRUE,Extended,Normal,TRUE,Standard,Normal
B2 101 / 5G (1.2) 17,12W-Small-Outdoor-Retro-Non-RRU-3 Sector-Baseband-Single Cabinet,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,VFE LTE BB,U9 DUW,U21 DUW,,,,,,,,,,,,,,,,,,,,
