Telefonica Configuration
B3 Outdoor ERS Small SF 3 Sector
B3 Outdoor ERS Small SF 2 Sector
B3 Outdoor ERS L18 Small SF 3 Sector
B3 Outdoor ERS L18 Small SF 2 Sector
B3 Outdoor ERS TEF Small SF 3 Sector
B3 Outdoor ERS TEF Small SF 2 Sector
B3 Outdoor ERS TEF L18 Small SF 3 Sector
B3 Outdoor ERS TEF L18 Small SF 2 Sector
B1 to B3 Upgrade - Outdoor 20W Small SF - 3 Sector (York)
B1 to B3 Upgrade - Outdoor 20W Small SF - 2 Sector (York)
B1 to B3 Upgrade - Outdoor 20W L18 Small SF - 3 Sector (York)
B1 to B3 Upgrade - Outdoor 20W Small SF Retrofit - 3 Sector (York)
B1 to B3 Upgrade - Outdoor 20W L18 Small SF Retrofit - 3 Sector (York)
B1 to B3 Upgrade - Outdoor 12W Small SF - 3 Sector (York)
B1 to B3 Upgrade - Outdoor 12W Small SF - 2 Sector (York)
B1 to B3 Upgrade - Outdoor 12W L18 Small SF - 3 Sector (York)
B1 to B3 Upgrade - Outdoor 12W Small SF Retrofit - 3 Sector (York)
B1 to B3 Upgrade - Outdoor 12W Small SF Retrofit - 2 Sector (York)
B1 to B3 Upgrade - Outdoor 12W L18 Small SF Retrofit - 3 Sector (York)
B1 to B3 Upgrade - Outdoor 20W L2100 RUS UU21 SF - 3 Sector
B1 to B3 Upgrade - Outdoor 20W RBSERS Small SF - 3 Sector (York)
B1 to B3 Upgrade - Outdoor 20W RBSERS L18 Small SF - 3 Sector (York)
B2 to B3 Upgrade - Outdoor 20W Small SF - 3 Sector (York)
B2 to B3 Upgrade - Outdoor 20W Small SF - 2 Sector (York)
B2 to B3 Upgrade - Outdoor 20W Small SF - 3 Sector (Lancaster)
B2 to B3 Upgrade - Outdoor 20W Small SF - 3 Sector (Lancaster to York)
B2 to B3 Upgrade - Outdoor 20W Small SF - 2 Sector (Lancaster)
B2 to B3 Upgrade - Outdoor 20W Small SF - 2 Sector (Lancaster to York)
B2 to B3 Upgrade - Outdoor 20W L18 Small SF - 3 Sector (York)
B2 to B3 Upgrade - Outdoor 20W L18 Small SF - 2 Sector (York)
B2 to B3 Upgrade - Outdoor 20W L18 Small SF - 3 Sector (Lancaster)
B2 to B3 Upgrade - Outdoor 20W L18 Small SF - 3 Sector (Lancaster to York)
B2 to B3 Upgrade - Outdoor 20W Small SF Single 6102 - 3 Sector
B2 to B3 Upgrade - Outdoor 20W Small SF Single 6102 - 2 Sector
B2 to B3 Upgrade - Outdoor 20W L18 Small SF Single 6102 - 3 Sector
B2 to B3 Upgrade - Outdoor 20W Small SF ULNR - 3 Sector
B2 to B3 Upgrade - Outdoor 20W Small SF UU21 - 3 Sector
B2 to B3 Upgrade - Outdoor 20W Stealth SF UU21 - 3 Sector
B2 to B3 Upgrade - Outdoor 20W L2100 UU21 SF - 3 Sector
B2 to B3 Upgrade - Outdoor 12W Small SF - 3 Sector (York)
B2 to B3 Upgrade - Outdoor 12W Small SF - 2 Sector (York)
B2 to B3 Upgrade - Outdoor 12W Small SF - 3 Sector (Lancaster)
B2 to B3 Upgrade - Outdoor 12W Small SF - 3 Sector (Lancaster to York)
B2 to B3 Upgrade - Outdoor 12W Small SF - 2 Sector (Lancaster)
B2 to B3 Upgrade - Outdoor 12W Small SF - 2 Sector (Lancaster to York)
B2 to B3 Upgrade - Outdoor 12W L18 Small SF - 3 Sector (York)
B2 to B3 Upgrade - Outdoor 12W L18 Small SF - 2 Sector (York)
B2 to B3 Upgrade - Outdoor 12W L18 Small SF - 3 Sector (Lancaster)
B2 to B3 Upgrade - Outdoor 12W L18 Small SF - 3 Sector (Lancaster to York)
B2 to B3 Upgrade - Outdoor 12W Small SF Single 6102- 3 Sector
B2 to B3 Upgrade - Outdoor 12W Small SF Single 6102 - 2 Sector
B2 to B3 Upgrade - Outdoor 12W L18 Small SF Single 6102- 3 Sector
B2 to B3 Upgrade - Outdoor 20W RBSERS Small SF - 3 Sector (York)
B2 to B3 Upgrade - Outdoor 20W RBSERS L18 Small SF - 3 Sector (York)
