Column_Header,Column_Letter,1,Col_Header_Row,Index,Base,1a,2a,2b,3,4,5,6,7,8,9,10,11,12,4G_Qcode_lookup,4G_Qcode_lookup_copy,OrderCode_1a,OrderCode_2a,OrderCode_2b,OrderCode_3,OrderCode_4,4G_OrderCodes_selected,5G_Qcode_lookup,5G_Qcode_lookup_copy,OrderCode_5,OrderCode_6,OrderCode_7,OrderCode_8,OrderCode_9,OrderCode_10,OrderCode_11,OrderCode_12,5G_OrderCodes_selected,LTE_Qcode_pattern,LTE_Qcode_Match,NR_Qcode_pattern,NR_Qcode_Match,Column_Letter_cc,Index_cc
1a. L800 RRUS 11 to Radio 2217 Swap Ordering Code,K,12,1a. L800 RRUS 11 to Radio 2217 Swap Ordering Code (12),11,B,K,K,K,K,K,K,K,K,K,K,K,K,K,KKKKK,KKKKK,,,,,,", , , , ",KKKKKKKK,KKKKKKKK,,,,,,,,,", , , , , , , ",BKKKKKKKKKKKKK,,XXXXXXXXXXXXXX,,K,11
4G L9 + L26 Q-Code,L,13,4G L9 + L26 Q-Code (13),12,B,.,N,N,N,Y,.,.,.,.,.,.,.,.,.NNNY,.NNNY,,,,,4,", , , , 4",........,........,,,,,,,,,", , , , , , , ",B.NNNY........,,XXXXXXXXXXXXXX,,L,12
"4G L9 + L26
(L18 4x4) Q-Code",M,14,"4G L9 + L26
(L18 4x4) Q-Code (14)",13,B,.,Y,N,N,Y,.,.,.,.,.,.,.,.,.YNNY,.YNNY,,2a,,,4,", 2a, , , 4",........,........,,,,,,,,,", , , , , , , ",B.YNNY........,,XXXXXXXXXXXXXX,,M,13
"4G L9 + L26
(L21 4415) Q-Code",N,15,"4G L9 + L26
(L21 4415) Q-Code (15)",14,B,.,N,Y,N,Y,.,.,.,.,.,.,.,.,.NYNY,.NYNY,,,2b,,4,", , 2b, , 4",........,........,,,,,,,,,", , , , , , , ",B.NYNY........,,XXXXXXXXXXXXXX,,N,14
4. L26 UG Ordering Code,O,16,4. L26 UG Ordering Code (16),15,B,L,L,L,L,L,L,L,L,L,L,L,L,L,LLLLL,LLLLL,,,,,,", , , , ",LLLLLLLL,LLLLLLLL,,,,,,,,,", , , , , , , ",BLLLLLLLLLLLLL,,XXXXXXXXXXXXXX,,O,15
"4G L9 + T23 4x4
(No N7/N21) Q-Code",P,17,"4G L9 + T23 4x4
(No N7/N21) Q-Code (17)",16,B,.,N,N,Y,N,.,.,.,.,N,N,N,N,.NNYN,.NNYN,,,,3,,", , , 3, ",....NNNN,....NNNN,,,,,,,,,", , , , , , , ",B.NNYN....NNNN,,XXXXXXXXXXXXXX,,P,16
"4G L9 + T23 4x4 
(L18 4x4) (No N7/N21) Q-Code",Q,18,"4G L9 + T23 4x4 
(L18 4x4) (No N7/N21) Q-Code (18)",17,B,.,Y,N,Y,N,.,.,.,.,N,N,N,N,.YNYN,.YNYN,,2a,,3,,", 2a, , 3, ",....NNNN,....NNNN,,,,,,,,,", , , , , , , ",B.YNYN....NNNN,,XXXXXXXXXXXXXX,,Q,17
"4G L9 + T23 4x4 
(L21 4415) (No N7/N21) Q-Code",R,19,"4G L9 + T23 4x4 
(L21 4415) (No N7/N21) Q-Code (19)",18,B,.,N,Y,Y,N,.,.,.,.,N,N,N,N,.NYYN,.NYYN,,,2b,3,,", , 2b, 3, ",....NNNN,....NNNN,,,,,,,,,", , , , , , , ",B.NYYN....NNNN,,XXXXXXXXXXXXXX,,R,18
"4G L9 + T23 4x4
(N7/N21) Q-Code",S,20,"4G L9 + T23 4x4
(N7/N21) Q-Code (20)",19,B,.,N,N,Y,N,.,.,.,.,N,Y,N,N,.NNYN,.NNYN,,,,3,,", , , 3, ",....NYNN,....NYNN,,,,,,10,,,", , , , , 10, , ",B.NNYN....NYNN,,XXXXXXXXXXXXXX,,S,19
"4G L9 + T23 4x4
(N7/N21) Q-Code",S,21,"4G L9 + T23 4x4
(N7/N21) Q-Code (21)",19,B,.,N,N,Y,N,.,.,.,.,N,N,N,Y,.NNYN,.NNYN,,,,3,,", , , 3, ",....NNNY,....NNNY,,,,,,,,12,", , , , , , , 12",B.NNYN....NNNY,,XXXXXXXXXXXXXX,,S,19
