Column_Header,Column_Letter,1,Col_Header_Row,Index,Base,1a,2a,2b,3,4,5,6,7,8,9,10,11,12,4G_Qcode_lookup,4G_Qcode_lookup_copy,OrderCode_1a,OrderCode_2a,OrderCode_2b,OrderCode_3,OrderCode_4,4G_OrderCodes_selected,5G_Qcode_lookup,5G_Qcode_lookup_copy,OrderCode_5,OrderCode_6,OrderCode_7,OrderCode_8,OrderCode_9,OrderCode_10,OrderCode_11,OrderCode_12,5G_OrderCodes_selected,LTE_Qcode_pattern,LTE_Qcode_Match,NR_Qcode_pattern,NR_Qcode_Match,Column_Letter_cc,Index_cc
"TEF Only 5G T34 M-MiMo +
N21 4x4 Q-Code",AQ,67,"TEF Only 5G T34 M-MiMo +
N21 4x4 Q-Code (67)",43,B,.,.,N,Y,.,N,Y,N,N,N,Y,N,N,..NY.,..NY.,,,,3,,", , , 3, ",NYNNNYNN,NYNNNYNN,,6,,,,10,,,", 6, , , , 10, , ",XXXXXXXXXXXXXX,,B..NY.NYNNNYNN,,AQ,43
"TEF Only 5G T34 M-MiMo +
N21 4x4 (4415) Q-Code",AR,68,"TEF Only 5G T34 M-MiMo +
N21 4x4 (4415) Q-Code (68)",44,B,.,.,Y,N,.,N,Y,N,N,Y,N,N,N,..YN.,..YN.,,,2b,,,", , 2b, , ",NYNNYNNN,NYNNYNNN,,6,,,9,,,,", 6, , , 9, , , ",XXXXXXXXXXXXXX,,B..YN.NYNNYNNN,,AR,44
"TEF Only 5G T34 M-MiMo +
N21 4x4 (4415) Q-Code",AR,69,"TEF Only 5G T34 M-MiMo +
N21 4x4 (4415) Q-Code (69)",44,B,.,.,Y,Y,.,N,Y,N,N,N,Y,N,N,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",NYNNNYNN,NYNNNYNN,,6,,,,10,,,", 6, , , , 10, , ",XXXXXXXXXXXXXX,,B..YY.NYNNNYNN,,AR,44
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 
Q-Code",AS,70,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 
Q-Code (70)",45,B,.,.,N,N,.,Y,N,Y,N,Y,N,N,N,..NN.,..NN.,,,,,,", , , , ",YNYNYNNN,YNYNYNNN,5,,7,,9,,,,"5, , 7, , 9, , , ",XXXXXXXXXXXXXX,,B..NN.YNYNYNNN,,AS,45
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 
Q-Code",AS,71,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 
Q-Code (71)",45,B,.,.,N,Y,.,Y,N,Y,N,N,Y,N,N,..NY.,..NY.,,,,3,,", , , 3, ",YNYNNYNN,YNYNNYNN,5,,7,,,10,,,"5, , 7, , , 10, , ",XXXXXXXXXXXXXX,,B..NY.YNYNNYNN,,AS,45
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415)
Q-Code",AT,72,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415)
Q-Code (72)",46,B,.,.,Y,N,.,Y,N,Y,N,Y,N,N,N,..YN.,..YN.,,,2b,,,", , 2b, , ",YNYNYNNN,YNYNYNNN,5,,7,,9,,,,"5, , 7, , 9, , , ",XXXXXXXXXXXXXX,,B..YN.YNYNYNNN,,AT,46
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415)
Q-Code",AT,73,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415)
Q-Code (73)",46,B,.,.,Y,Y,.,Y,N,Y,N,N,Y,N,N,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",YNYNNYNN,YNYNNYNN,5,,7,,,10,,,"5, , 7, , , 10, , ",XXXXXXXXXXXXXX,,B..YY.YNYNNYNN,,AT,46
"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 
Q-Code",AU,74,"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 
Q-Code (74)",47,B,.,.,N,N,.,N,Y,N,Y,Y,N,N,N,..NN.,..NN.,,,,,,", , , , ",NYNYYNNN,NYNYYNNN,,6,,8,9,,,,", 6, , 8, 9, , , ",XXXXXXXXXXXXXX,,B..NN.NYNYYNNN,,AU,47
"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 
Q-Code",AU,75,"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 
Q-Code (75)",47,B,.,.,N,Y,.,N,Y,N,Y,N,Y,N,N,..NY.,..NY.,,,,3,,", , , 3, ",NYNYNYNN,NYNYNYNN,,6,,8,,10,,,", 6, , 8, , 10, , ",XXXXXXXXXXXXXX,,B..NY.NYNYNYNN,,AU,47
"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 (4415) 
Q-Code",AV,76,"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 (4415) 
Q-Code (76)",48,B,.,.,Y,N,.,N,Y,N,Y,Y,N,N,N,..YN.,..YN.,,,2b,,,", , 2b, , ",NYNYYNNN,NYNYYNNN,,6,,8,9,,,,", 6, , 8, 9, , , ",XXXXXXXXXXXXXX,,B..YN.NYNYYNNN,,AV,48
"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 (4415) 
Q-Code",AV,77,"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 (4415) 
Q-Code (77)",48,B,.,.,Y,Y,.,N,Y,N,Y,N,Y,N,N,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",NYNYNYNN,NYNYNYNN,,6,,8,,10,,,", 6, , 8, , 10, , ",XXXXXXXXXXXXXX,,B..YY.NYNYNYNN,,AV,48
9. ESS 5G N21 4x4 UG Ordering Code,AW,78,9. ESS 5G N21 4x4 UG Ordering Code (78),49,B,S,S,S,S,S,S,S,S,S,S,S,S,S,SSSSS,SSSSS,,,,,,", , , , ",SSSSSSSS,SSSSSSSS,,,,,,,,,", , , , , , , ",XXXXXXXXXXXXXX,,BSSSSSSSSSSSSS,,AW,49
"10. T23 BB + ESS
5G N21 4x4 UG
Ordering Code",AX,79,"10. T23 BB + ESS
5G N21 4x4 UG
Ordering Code (79)",50,B,T,T,T,T,T,T,T,T,T,T,T,T,T,TTTTT,TTTTT,,,,,,", , , , ",TTTTTTTT,TTTTTTTT,,,,,,,,,", , , , , , , ",XXXXXXXXXXXXXX,,BTTTTTTTTTTTTT,,AX,50
"TEF Only
5G N7 2x2
Q-Code",AY,80,"TEF Only
5G N7 2x2
Q-Code (80)",51,B,.,.,N,N,.,N,N,N,N,N,N,Y,N,..NN.,..NN.,,,,,,", , , , ",NNNNNNYN,NNNNNNYN,,,,,,,11,,", , , , , , 11, ",XXXXXXXXXXXXXX,,B..NN.NNNNNNYN,,AY,51
"TEF Only
5G N7 2x2
Q-Code",AY,81,"TEF Only
5G N7 2x2
Q-Code (81)",51,B,.,.,.,Y,.,N,N,N,N,N,N,N,Y,...Y.,..NY.,,,,3,,", , , 3, ",NNNNNNNY,NNNNNNNY,,,,,,,,12,", , , , , , , 12",XXXXXXXXXXXXXX,,B...Y.NNNNNNNY,,AY,51
"TEF Only 5G N21 4x4 +
TEF Only N7 2x2 Q-Code",AZ,82,"TEF Only 5G N21 4x4 +
TEF Only N7 2x2 Q-Code (82)",52,B,.,.,N,N,.,N,N,N,N,Y,N,Y,N,..NN.,..NN.,,,,,,", , , , ",NNNNYNYN,NNNNYNYN,,,,,9,,11,,", , , , 9, , 11, ",XXXXXXXXXXXXXX,,B..NN.NNNNYNYN,,AZ,52
"TEF Only 5G N21 4x4 +
TEF Only N7 2x2 Q-Code",AZ,83,"TEF Only 5G N21 4x4 +
TEF Only N7 2x2 Q-Code (83)",52,B,.,.,N,Y,.,N,N,N,N,N,Y,N,Y,..NY.,..NY.,,,,3,,", , , 3, ",NNNNNYNY,NNNNNYNY,,,,,,10,,12,", , , , , 10, , 12",XXXXXXXXXXXXXX,,B..NY.NNNNNYNY,,AZ,52
"TEF Only 5G N21 4x4 +
TEF Only N7 2x2 Q-Code",AZ,84,"TEF Only 5G N21 4x4 +
TEF Only N7 2x2 Q-Code (84)",52,B,.,.,N,Y,.,N,N,N,N,Y,N,N,Y,..NY.,..NY.,,,,3,,", , , 3, ",NNNNYNNY,NNNNYNNY,,,,,9,,,12,", , , , 9, , , 12",XXXXXXXXXXXXXX,,B..NY.NNNNYNNY,,AZ,52
"TEF Only 5G N21 4x4 +
TEF Only N7 2x2 Q-Code",AZ,85,"TEF Only 5G N21 4x4 +
TEF Only N7 2x2 Q-Code (85)",52,B,.,.,N,Y,.,N,N,N,N,N,Y,Y,N,..NY.,..NY.,,,,3,,", , , 3, ",NNNNNYYN,NNNNNYYN,,,,,,10,11,,", , , , , 10, 11, ",XXXXXXXXXXXXXX,,B..NY.NNNNNYYN,,AZ,52
"TEF Only 5G N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BA,86,"TEF Only 5G N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (86)",53,B,.,.,Y,N,.,N,N,N,N,Y,N,Y,N,..YN.,..YN.,,,2b,,,", , 2b, , ",NNNNYNYN,NNNNYNYN,,,,,9,,11,,", , , , 9, , 11, ",XXXXXXXXXXXXXX,,B..YN.NNNNYNYN,,BA,53
"TEF Only 5G N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BA,87,"TEF Only 5G N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (87)",53,B,.,.,Y,Y,.,N,N,N,N,N,Y,N,Y,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",NNNNNYNY,NNNNNYNY,,,,,,10,,12,", , , , , 10, , 12",XXXXXXXXXXXXXX,,B..YY.NNNNNYNY,,BA,53
"TEF Only 5G N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BA,88,"TEF Only 5G N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (88)",53,B,.,.,Y,Y,.,N,N,N,N,Y,N,N,Y,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",NNNNYNNY,NNNNYNNY,,,,,9,,,12,", , , , 9, , , 12",XXXXXXXXXXXXXX,,B..YY.NNNNYNNY,,BA,53
"TEF Only 5G N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BA,89,"TEF Only 5G N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (89)",53,B,.,.,Y,Y,.,N,N,N,N,N,Y,Y,N,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",NNNNNYYN,NNNNNYYN,,,,,,10,11,,", , , , , 10, 11, ",XXXXXXXXXXXXXX,,B..YY.NNNNNYYN,,BA,53
"TEF Only 5G T34 8x8 +
TEF Only N7 2x2 Q-Code",BB,90,"TEF Only 5G T34 8x8 +
TEF Only N7 2x2 Q-Code (90)",54,B,.,.,.,N,.,Y,N,N,N,N,N,Y,N,...N.,...N.,,,,,,", , , , ",YNNNNNYN,YNNNNNYN,5,,,,,,11,,"5, , , , , , 11, ",XXXXXXXXXXXXXX,,B...N.YNNNNNYN,,BB,54
"TEF Only 5G T34 8x8 +
TEF Only N7 2x2 Q-Code",BB,91,"TEF Only 5G T34 8x8 +
TEF Only N7 2x2 Q-Code (91)",54,B,.,.,.,Y,.,Y,N,N,N,N,N,N,Y,...Y.,...Y.,,,,3,,", , , 3, ",YNNNNNNY,YNNNNNNY,5,,,,,,,12,"5, , , , , , , 12",XXXXXXXXXXXXXX,,B...Y.YNNNNNNY,,BB,54
"TEF Only 5G T34 M-MiMo +
TEF Only N7 2x2 Q-Code",BC,92,"TEF Only 5G T34 M-MiMo +
TEF Only N7 2x2 Q-Code (92)",55,B,.,.,.,N,.,N,Y,N,N,N,N,Y,N,...N.,...N.,,,,,,", , , , ",NYNNNNYN,NYNNNNYN,,6,,,,,11,,", 6, , , , , 11, ",XXXXXXXXXXXXXX,,B...N.NYNNNNYN,,BC,55
"TEF Only 5G T34 M-MiMo +
TEF Only N7 2x2 Q-Code",BC,93,"TEF Only 5G T34 M-MiMo +
TEF Only N7 2x2 Q-Code (93)",55,B,.,.,.,Y,.,N,Y,N,N,N,N,N,Y,...Y.,...Y.,,,,3,,", , , 3, ",NYNNNNNY,NYNNNNNY,,6,,,,,,12,", 6, , , , , , 12",XXXXXXXXXXXXXX,,B...Y.NYNNNNNY,,BC,55
"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BD,94,"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (94)",56,B,.,.,N,N,.,Y,N,N,N,Y,N,Y,N,..NN.,..NN.,,,,,,", , , , ",YNNNYNYN,YNNNYNYN,5,,,,9,,11,,"5, , , , 9, , 11, ",XXXXXXXXXXXXXX,,B..NN.YNNNYNYN,,BD,56
"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BD,95,"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (95)",56,B,.,.,N,Y,.,Y,N,N,N,N,Y,N,Y,..NY.,..NY.,,,,3,,", , , 3, ",YNNNNYNY,YNNNNYNY,5,,,,,10,,12,"5, , , , , 10, , 12",XXXXXXXXXXXXXX,,B..NY.YNNNNYNY,,BD,56
"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BD,96,"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (96)",56,B,.,.,N,Y,.,Y,N,N,N,Y,N,N,Y,..NY.,..NY.,,,,3,,", , , 3, ",YNNNYNNY,YNNNYNNY,5,,,,9,,,12,"5, , , , 9, , , 12",XXXXXXXXXXXXXX,,B..NY.YNNNYNNY,,BD,56
"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BD,97,"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (97)",56,B,.,.,N,Y,.,Y,N,N,N,N,Y,Y,N,..NY.,..NY.,,,,3,,", , , 3, ",YNNNNYYN,YNNNNYYN,5,,,,,10,11,,"5, , , , , 10, 11, ",XXXXXXXXXXXXXX,,B..NY.YNNNNYYN,,BD,56
"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BE,98,"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (98)",57,B,.,.,Y,N,.,Y,N,N,N,Y,N,Y,N,..YN.,..YN.,,,2b,,,", , 2b, , ",YNNNYNYN,YNNNYNYN,5,,,,9,,11,,"5, , , , 9, , 11, ",XXXXXXXXXXXXXX,,B..YN.YNNNYNYN,,BE,57
"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BE,99,"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (99)",57,B,.,.,Y,Y,.,Y,N,N,N,N,Y,N,Y,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",YNNNNYNY,YNNNNYNY,5,,,,,10,,12,"5, , , , , 10, , 12",XXXXXXXXXXXXXX,,B..YY.YNNNNYNY,,BE,57
"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BE,100,"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (100)",57,B,.,.,Y,Y,.,Y,N,N,N,Y,N,N,Y,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",YNNNYNNY,YNNNYNNY,5,,,,9,,,12,"5, , , , 9, , , 12",XXXXXXXXXXXXXX,,B..YY.YNNNYNNY,,BE,57
"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BE,101,"TEF Only 5G T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (101)",57,B,.,.,Y,Y,.,Y,N,N,N,N,Y,Y,N,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",YNNNNYYN,YNNNNYYN,5,,,,,10,11,,"5, , , , , 10, 11, ",XXXXXXXXXXXXXX,,B..YY.YNNNNYYN,,BE,57
"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BF,102,"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (102)",58,B,.,.,N,N,.,N,Y,N,N,Y,N,Y,N,..NN.,..NN.,,,,,,", , , , ",NYNNYNYN,NYNNYNYN,,6,,,9,,11,,", 6, , , 9, , 11, ",XXXXXXXXXXXXXX,,B..NN.NYNNYNYN,,BF,58
"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BF,103,"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (103)",58,B,.,.,N,Y,.,N,Y,N,N,N,Y,N,Y,..NY.,..NY.,,,,3,,", , , 3, ",NYNNNYNY,NYNNNYNY,,6,,,,10,,12,", 6, , , , 10, , 12",XXXXXXXXXXXXXX,,B..NY.NYNNNYNY,,BF,58
"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BF,104,"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (104)",58,B,.,.,N,Y,.,N,Y,N,N,Y,N,N,Y,..NY.,..NY.,,,,3,,", , , 3, ",NYNNYNNY,NYNNYNNY,,6,,,9,,,12,", 6, , , 9, , , 12",XXXXXXXXXXXXXX,,B..NY.NYNNYNNY,,BF,58
"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BF,105,"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (105)",58,B,.,.,N,Y,.,N,Y,N,N,N,Y,Y,N,..NY.,..NY.,,,,3,,", , , 3, ",NYNNNYYN,NYNNNYYN,,6,,,,10,11,,", 6, , , , 10, 11, ",XXXXXXXXXXXXXX,,B..NY.NYNNNYYN,,BF,58
"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BG,106,"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (106)",59,B,.,.,Y,N,.,N,Y,N,N,Y,N,Y,N,..YN.,..YN.,,,2b,,,", , 2b, , ",NYNNYNYN,NYNNYNYN,,6,,,9,,11,,", 6, , , 9, , 11, ",XXXXXXXXXXXXXX,,B..YN.NYNNYNYN,,BG,59
"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BG,107,"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (107)",59,B,.,.,Y,Y,.,N,Y,N,N,N,Y,N,Y,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",NYNNNYNY,NYNNNYNY,,6,,,,10,,12,", 6, , , , 10, , 12",XXXXXXXXXXXXXX,,B..YY.NYNNNYNY,,BG,59
"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BG,108,"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (108)",59,B,.,.,Y,Y,.,N,Y,N,N,Y,N,N,Y,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",NYNNYNNY,NYNNYNNY,,6,,,9,,,12,", 6, , , 9, , , 12",XXXXXXXXXXXXXX,,B..YY.NYNNYNNY,,BG,59
"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BG,109,"TEF Only 5G T34 M-MiMo +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (109)",59,B,.,.,Y,Y,.,N,Y,N,N,N,Y,Y,N,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",NYNNNYYN,NYNNNYYN,,6,,,,10,11,,", 6, , , , 10, 11, ",XXXXXXXXXXXXXX,,B..YY.NYNNNYYN,,BG,59
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N7 2x2 Q-Code",BH,110,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N7 2x2 Q-Code (110)",60,B,.,.,.,N,.,Y,N,Y,N,N,N,Y,N,...N.,...N.,,,,,,", , , , ",YNYNNNYN,YNYNNNYN,5,,7,,,,11,,"5, , 7, , , , 11, ",XXXXXXXXXXXXXX,,B...N.YNYNNNYN,,BH,60
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N7 2x2 Q-Code",BH,111,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N7 2x2 Q-Code (111)",60,B,.,.,.,Y,.,Y,N,Y,N,N,N,N,Y,...Y.,...Y.,,,,3,,", , , 3, ",YNYNNNNY,YNYNNNNY,5,,7,,,,,12,"5, , 7, , , , , 12",XXXXXXXXXXXXXX,,B...Y.YNYNNNNY,,BH,60
"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N7 2x2 Q-Code",BI,112,"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N7 2x2 Q-Code (112)",61,B,.,.,.,N,.,N,Y,N,Y,N,N,Y,N,...N.,...N.,,,,,,", , , , ",NYNYNNYN,NYNYNNYN,,6,,8,,,11,,", 6, , 8, , , 11, ",XXXXXXXXXXXXXX,,B...N.NYNYNNYN,,BI,61
"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N7 2x2 Q-Code",BI,113,"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N7 2x2 Q-Code (113)",61,B,.,.,.,Y,.,N,Y,N,Y,N,N,N,Y,...Y.,...Y.,,,,3,,", , , 3, ",NYNYNNNY,NYNYNNNY,,6,,8,,,,12,", 6, , 8, , , , 12",XXXXXXXXXXXXXX,,B...Y.NYNYNNNY,,BI,61
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BJ,114,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (114)",62,B,.,.,N,N,.,Y,N,Y,N,Y,N,Y,N,..NN.,..NN.,,,,,,", , , , ",YNYNYNYN,YNYNYNYN,5,,7,,9,,11,,"5, , 7, , 9, , 11, ",XXXXXXXXXXXXXX,,B..NN.YNYNYNYN,,BJ,62
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BJ,115,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (115)",62,B,.,.,N,Y,.,Y,N,Y,N,N,Y,N,Y,..NY.,..NY.,,,,3,,", , , 3, ",YNYNNYNY,YNYNNYNY,5,,7,,,10,,12,"5, , 7, , , 10, , 12",XXXXXXXXXXXXXX,,B..NY.YNYNNYNY,,BJ,62
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BJ,116,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (116)",62,B,.,.,N,Y,.,Y,N,Y,N,Y,N,N,Y,..NY.,..NY.,,,,3,,", , , 3, ",YNYNYNNY,YNYNYNNY,5,,7,,9,,,12,"5, , 7, , 9, , , 12",XXXXXXXXXXXXXX,,B..NY.YNYNYNNY,,BJ,62
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BJ,117,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (117)",62,B,.,.,N,Y,.,Y,N,Y,N,N,Y,Y,N,..NY.,..NY.,,,,3,,", , , 3, ",YNYNNYYN,YNYNNYYN,5,,7,,,10,11,,"5, , 7, , , 10, 11, ",XXXXXXXXXXXXXX,,B..NY.YNYNNYYN,,BJ,62
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BK,118,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (118)",63,B,.,.,Y,N,.,Y,N,Y,N,Y,N,Y,N,..YN.,..YN.,,,2b,,,", , 2b, , ",YNYNYNYN,YNYNYNYN,5,,7,,9,,11,,"5, , 7, , 9, , 11, ",XXXXXXXXXXXXXX,,B..YN.YNYNYNYN,,BK,63
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BK,119,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (119)",63,B,.,.,Y,Y,.,Y,N,Y,N,N,Y,N,Y,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",YNYNNYNY,YNYNNYNY,5,,7,,,10,,12,"5, , 7, , , 10, , 12",XXXXXXXXXXXXXX,,B..YY.YNYNNYNY,,BK,63
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BK,120,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (120)",63,B,.,.,Y,Y,.,Y,N,Y,N,Y,N,N,Y,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",YNYNYNNY,YNYNYNNY,5,,7,,9,,,12,"5, , 7, , 9, , , 12",XXXXXXXXXXXXXX,,B..YY.YNYNYNNY,,BK,63
"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code",BK,121,"TEF & VF 5G MoRAN T34 8x8 +
TEF Only N21 4x4 (4415) +
TEF Only N7 2x2 Q-Code (121)",63,B,.,.,Y,Y,.,Y,N,Y,N,N,Y,Y,N,..YY.,..YY.,,,2b,3,,", , 2b, 3, ",YNYNNYYN,YNYNNYYN,5,,7,,,10,11,,"5, , 7, , , 10, 11, ",XXXXXXXXXXXXXX,,B..YY.YNYNNYYN,,BK,63
"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BL,122,"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (122)",64,B,.,.,N,N,.,N,Y,N,Y,Y,N,Y,N,..NN.,..NN.,,,,,,", , , , ",NYNYYNYN,NYNYYNYN,,6,,8,9,,11,,", 6, , 8, 9, , 11, ",XXXXXXXXXXXXXX,,B..NN.NYNYYNYN,,BL,64
"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code",BL,123,"TEF & VF 5G MoRAN T34 M-MiMo +
TEF Only N21 4x4 +
TEF Only N7 2x2 Q-Code (123)",64,B,.,.,N,Y,.,N,Y,N,Y,N,Y,N,Y,..NY.,..NY.,,,,3,,", , , 3, ",NYNYNYNY,NYNYNYNY,,6,,8,,10,,12,", 6, , 8, , 10, , 12",XXXXXXXXXXXXXX,,B..NY.NYNYNYNY,,BL,64
